"2017/09/22 7:49:32 下午 GMT+8","男","商學院","Year2","wechat微信","分享生活;討論校園生活和熱點話題;交友","內地生","內地","","","","1","2","缺乏有效的交流平台;语言不通畅;关注不同的话题;文化背景不了解","70","NA","没发生过","","","微信朋友圈","邮件","微信朋友圈","微信朋友圈","熱點討論;上莊資訊;物品交換;交友約伴;倾诉心情（如树洞、CU Secret）;學術攻略（交換，選課等）"
"2017/09/22 8:00:30 下午 GMT+8","男","工程學院","Year4 or above","wechat微信;weibo微博","分享生活;討論校園生活和熱點話題;交友","內地生","內地","","","","1","2","缺乏有效的交流平台;关注不同的话题;文化背景不了解","50","10","<1分钟","facebook;微信朋友圈;微博","微博;缺乏一個專業的平臺","facebook;校園微信公眾號（cu轉換器等）;缺乏一個專業的平臺","facebook;校園微信公眾號（cu轉換器等）;缺乏一個專業的平臺","facebook;微信朋友圈;缺乏一個專業的平臺","facebook;微博;缺乏一個專業的平臺","分享動態;上莊資訊;物品交換;交友約伴;學術攻略（交換，選課等）"
"2017/09/26 8:53:34 下午 GMT+8","男","工程學院","Year4 or above","wechat微信","分享生活","內地生","內地","","","","3","2","缺乏有效的交流平台;语言不通畅;文化背景不了解","50","10","没发生过","微信朋友圈","facebook;缺乏一個專業的平臺","微信朋友圈","cpdc","校園微信公眾號（cu轉換器等）","微信朋友圈","交友約伴;倾诉心情（如树洞、CU Secret）;學術攻略（交換，選課等）"
"2017/09/26 8:56:53 下午 GMT+8","男","理學院","Year4 or above","wechat微信;whatsapps","分享生活;討論校園生活和熱點話題;交友","內地生","內地","","","","3","2","缺乏有效的交流平台;语言不通畅;关注不同的话题;文化背景不了解","10","没有丢过。。","没发生过","微信朋友圈","微信朋友圈","微信朋友圈","微信朋友圈","微信朋友圈;校園微信公眾號（cu轉換器等）","微信朋友圈","招聘咨詢;校园意见反馈;倾诉心情（如树洞、CU Secret）;學術攻略（交換，選課等）"
"2017/09/26 8:59:34 下午 GMT+8","女","理學院","Year4 or above","facebook;wechat微信;weibo微博;ins","分享生活","內地生","內地","","","","3","2","缺乏有效的交流平台;文化背景不了解","20","没有经验 8-10","1-5分钟","微信朋友圈","facebook;微信朋友圈;微博","缺乏一個專業的平臺","微信朋友圈;內地生口中;缺乏一個專業的平臺","校園微信公眾號（cu轉換器等）","微信朋友圈;校園微信公眾號（cu轉換器等）","分享動態;熱點討論;上莊資訊;招聘咨詢;交友約伴;校园意见反馈;倾诉心情（如树洞、CU Secret）;學術攻略（交換，選課等）"
"2017/09/26 9:01:37 下午 GMT+8","女","商學院","Year1","wechat微信;weibo微博","分享生活;討論校園生活和熱點話題","內地生","內地","","","","4","4","缺乏有效的交流平台;关注不同的话题","15","8","没发生过","微信朋友圈","facebook;微信朋友圈","微信朋友圈","facebook;內地生口中","微信朋友圈;校園微信公眾號（cu轉換器等）","微信朋友圈","分享動態;熱點討論;上莊資訊;物品交換;學術攻略（交換，選課等）"
"2017/09/26 9:01:43 下午 GMT+8","女","理學院","Year1","wechat微信;weibo微博;whatsapps","分享生活;討論校園生活和熱點話題;物品交換;交友","內地生","內地","","","","1","2","缺乏有效的交流平台;语言不通畅;关注不同的话题;文化背景不了解","二三十个","十几个","没发生过","微信朋友圈;微博","微信朋友圈;校園微信公眾號（cu轉換器等）","微信朋友圈","校園微信公眾號（cu轉換器等）;內地生口中","校園微信公眾號（cu轉換器等）","微信朋友圈","分享動態;熱點討論;上莊資訊;物品交換;招聘咨詢;交友約伴;校园意见反馈;學術攻略（交換，選課等）"
"2017/09/26 9:02:21 下午 GMT+8","男","工程學院","Year2","wechat微信;weibo微博","分享生活","內地生","內地","","","","3","2","语言不通畅;文化背景不了解;对交流不感兴趣","10","10","没发生过","微信朋友圈","facebook;微信朋友圈","微信朋友圈","微信朋友圈;校園微信公眾號（cu轉換器等）;內地生口中;缺乏一個專業的平臺","校園微信公眾號（cu轉換器等）;缺乏一個專業的平臺","微信朋友圈;缺乏一個專業的平臺","熱點討論;招聘咨詢;學術攻略（交換，選課等）"
"2017/09/26 9:04:25 下午 GMT+8","男","理學院","Year4 or above","wechat微信","分享生活;討論校園生活和熱點話題;交友","內地生","內地","","","","1","1","缺乏有效的交流平台;语言不通畅;关注不同的话题","35","25","5-10分钟","微信朋友圈","微信朋友圈","微信朋友圈","微信朋友圈;內地生口中","微信朋友圈;校園微信公眾號（cu轉換器等）","微信朋友圈","分享動態;熱點討論;上莊資訊;物品交換;招聘咨詢;交友約伴;校园意见反馈;學術攻略（交換，選課等）"
"2017/09/26 9:05:09 下午 GMT+8","男","理學院","Year2","facebook;wechat微信","分享生活;討論校園生活和熱點話題;交友","內地生","內地","","","","3","3","语言不通畅;文化背景不了解","50","30","1-5分钟","facebook;微信朋友圈","facebook;微信朋友圈","facebook;微信朋友圈","facebook;微信朋友圈","facebook;微信朋友圈","facebook;微信朋友圈","分享動態;熱點討論;上莊資訊;物品交換;交友約伴;倾诉心情（如树洞、CU Secret）;學術攻略（交換，選課等）"
